question,ground_truth
Ai chịu trách nhiệm ban hành quyết định thành lập các tổ xét miễn và công nhận điểm học phần thuộc đơn vị?,Trưởng đơn vị đào tạo chịu trách nhiệm ban hành quyết định thành lập các tổ xét miễn và công nhận điểm học phần thuộc đơn vị.
Ai chịu trách nhiệm ban hành quyết định thành lập các tổ xét miễn và công nhận điểm học phần thuộc đơn vị?,Trưởng đơn vị đào tạo chịu trách nhiệm ban hành quyết định thành lập các tổ xét miễn và công nhận điểm học phần thuộc đơn vị.
Ai chịu trách nhiệm ban hành quyết định thành lập các tổ xét miễn và công nhận điểm học phần thuộc đơn vị?,Trưởng đơn vị đào tạo chịu trách nhiệm ban hành quyết định thành lập các tổ xét miễn và công nhận điểm học phần thuộc đơn vị.
Ai chịu trách nhiệm ban hành quyết định thành lập các tổ xét miễn và công nhận điểm học phần thuộc đơn vị?,Trưởng đơn vị đào tạo chịu trách nhiệm ban hành quyết định thành lập các tổ xét miễn và công nhận điểm học phần thuộc đơn vị.
Ai chịu trách nhiệm ban hành quyết định thành lập các tổ xét miễn và công nhận điểm học phần thuộc đơn vị?,Trưởng đơn vị đào tạo chịu trách nhiệm ban hành quyết định thành lập các tổ xét miễn và công nhận điểm học phần thuộc đơn vị.
Ai chịu trách nhiệm ban hành quyết định thành lập các tổ xét miễn và công nhận điểm học phần thuộc đơn vị?,Trưởng đơn vị đào tạo chịu trách nhiệm ban hành quyết định thành lập các tổ xét miễn và công nhận điểm học phần thuộc đơn vị.
Ai chịu trách nhiệm ban hành quyết định thành lập các tổ xét miễn và công nhận điểm học phần thuộc đơn vị?,Trưởng đơn vị đào tạo chịu trách nhiệm ban hành quyết định thành lập các tổ xét miễn và công nhận điểm học phần thuộc đơn vị.
Ai chịu trách nhiệm nhập liệu cho ngoại trú?,Ngoại trú P.CTSV nhập liệu.
Ai chịu trách nhiệm nhập liệu cho ngoại trú?,Ngoại trú P.CTSV nhập liệu.
Ai chịu trách nhiệm nhập liệu cho ngoại trú?,Ngoại trú P.CTSV nhập liệu.
Ai chịu trách nhiệm nhập liệu cho ngoại trú?,Ngoại trú P.CTSV nhập liệu.
Ai chịu trách nhiệm nhập liệu cho ngoại trú?,Ngoại trú P.CTSV nhập liệu.
Ai chịu trách nhiệm nhập liệu cho ngoại trú?,Ngoại trú P.CTSV nhập liệu.
